Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States 🇺🇸 on July 9, 2018",Nick L,yes,yes,The straps are way too tight. Our child has ...,The straps are way too tight.  Our child has a 93rd percentile head circumference.  He's about 18 inches right now.  We've had to mock up other strap systems.,2,-,-,https://www.amazon.com/gp/customer-reviews/R2DKQ6B4HEFD14/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B071H56GPH,Color: Blue
"Reviewed in the United States 🇺🇸 on January 21, 2022",Laura Fox,yes,yes,Mixed reviews.,"So obviously got this for the baby so that he could attend basketball games and still keep his hearing and not get startled to death at the buzzers.We’ll the older kids make fun of him cause these things do stick out and make him look like he is special or something. I’m just trying to protect his hearing.Also since they stick out from his head really far he has to lay his head totally flat in order to wear them, not to one side or the other. Which is like impossible to tell a new born, “lay flat or else your earmuffs won’t work”. Haha!!Also can’t really nurse him while he’s wearing them for the same reason. They stick out about 2” from his head.But for a kid that can sit up and doesn’t require nursing every 30 mins these would be great.",5,-,-,https://www.amazon.com/gp/customer-reviews/R2CK44T3L1HHV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B071H56GPH,Color: Blue
"Reviewed in the United States 🇺🇸 on August 21, 2021",JennJenn,yes,yes,Pretty nice,"My girl did amazing on the flight with these on. Right before we took off we put these ear muffs on her and she knocked out instantly, it was like complete silence for her. Im sure she could hear muffled noises but it wasn't enough to wake her. They looked like they were comfortable for her. However, probably am hour into our flight we noticed that the band above her head start to slide down over her eyes. She wasn't wiggling or anything for it to do it, we had to adjust it a handful if times to make sure it didn't cover her eyes. Only reason why I gave it 4 stars, was the bad continuously sliding down.",4,https://m.media-amazon.com/images/I/9133TC-1IwL.jpg,-,https://www.amazon.com/gp/customer-reviews/R3VGGXVC806H9I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B072HCP5PL,Color: Pink
"Reviewed in the United States 🇺🇸 on June 15, 2021",negautrunks,yes,yes,Look at the diagram,"People who are complaining about fit did not read the instructions correctly nor observe the diagram. Some of the children pictured are not wearing it correctly. If used according to the instructions the fitment is very good. I can't speak to the baby taking them off, but they fit my son well and will be good for some time yet. I have small ears and was able to get them over my ears and i could still hear things though percussive sounds were greatly reduced. There must be a diaphragm in the earpieces that allows lower decibel sounds to pass through somehow - so your baby can hear your comforting words and voice but not the loudness around them. I'm really glad we got these and I'm looking forward to testing them out further on July 4!",5,-,-,https://www.amazon.com/gp/customer-reviews/REEQ6T348WRUW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B07KCKWGSG,Color: Black
"Reviewed in the United States 🇺🇸 on March 27, 2022",Patrícia da Silva DiasPatrícia da Silva Dias,yes,yes,Best purchase,"It was the best thing I could buy for my baby. We went to a PBR rodeo, and my baby was comfortable. He did not cry anything because of the noise. He enjoyed every part of the show. We also lend his ears protector to our friend who was about to travel, and she loved it for her baby. Thank you so much.If you are thinking about buying or not this product do not think anymore go buy it. It was the best thing I could have done for my baby. It is very easy to use, and comfortable.",5,https://m.media-amazon.com/images/I/81XFnqpvBcL.jpg,-,https://www.amazon.com/gp/customer-reviews/R23G4EUZMJPI2C/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B071H56GPH,Color: Blue
"Reviewed in the United States 🇺🇸 on October 20, 2019",S. Coley,yes,yes,ABSOLUTELY worth the price!!!,"I had purchased a different brand because I hadn’t found these yet. These are legitimate hearing protections for an infant. They have a website that you can purchase from but they do not ship to the USA so I purchased them here. I would pay triple the price to protect my baby’s hearing. Do not go for any other brand because of price, you get what you pay for. The headband makes these actually usable for an infant. My baby was a preemie so finding something that actually fit her was a relief. She will be able to wear these as she grows. It came with TWO bands and a carrying case.UPDATE: 6 months of use and we have not had any issues at all. The carrying case comes in handy, we just leave them in the diaper bag so we always have them on hand. Definitely worth purchasing.",5,-,-,https://www.amazon.com/gp/customer-reviews/R3CXFA2TKLT156/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B072HCP5PL,Color: Pink
"Reviewed in the United States 🇺🇸 on September 6, 2022",Emily + KatieEmily + Katie,yes,yes,My toddler actually kept these on his head,"If you have a toddler, you know that it's darn near impossible for them to keep something on their head when you want them to. But mine LOVED these ear muffs.  We brought these with us to the local hot air balloon festival. If you've been around a hot air balloon, you know that when they are inflating it can be LOUD.  Now imagine dozens of them doing that at the same time.  My son has grown up around hot air balloons (his grandpa flies them) but the noise from the burners still causes him to freak out.  We gave him these Alpine Muffys during the inflation of 25 balloons and he was so comfortable.  Instead of focusing on the noise, he focused on saying ""wowwwww!"" and ""yeah!!"" everytime one took off.  Even when they were all gone, he wanted to keep the muffs on his head.1000% I would recommend these!",5,https://m.media-amazon.com/images/I/710fl79nTkL.jpg,-,https://www.amazon.com/gp/customer-reviews/RPB5F7I8JTLAZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B071H56GPH,Color: Blue
"Reviewed in the United States 🇺🇸 on October 28, 2022",MelissaMelissa,yes,yes,My son fell asleep during a hockey game,The noise cancelling works amazingly! When I tested them on my ears I was really worried because I still heard a lot but they must be just right for little baby ears. My 2.5 month old passed out during a Chicago Blackhawks game. They were really hard to get them on his head but once they were on they stayed in place! At the end of the night he did have lines on his head from the strap but they went away after a few minutes.,4,https://m.media-amazon.com/images/I/71Z7ZZaCTcL.jpg,-,https://www.amazon.com/gp/customer-reviews/R3LJJMUE74CSFW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B07KCKWGSG,Color: Black
"Reviewed in the United States 🇺🇸 on May 31, 2021",KarlaKarla,yes,yes,Good product. Didn’t work for me.,I was super excited about this product I bought it for my 4 month old baby boy for his first flight. He wore it prior to take off and on the landing which definitely helped a lot cause he didn’t cry at all! Sadly my kiddo has a full head of silky hair and made the band fall to his eyes constantly so he hated it the whole time!,3,https://images-na.ssl-images-amazon.com/images/I/716UsB9uWlL.jpg,-,https://www.amazon.com/gp/customer-reviews/R2D8VIBN22CIKC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B071H56GPH,Color: Blue
"Reviewed in the United States 🇺🇸 on July 4, 2022",Naliah,-,yes,Get these!,The media could not be loaded.                  worked so good with my 3 month old! straps can adjust sizes,5,-,-,https://www.amazon.com/gp/customer-reviews/R1GXETVCQHNW2P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B07KCKWGSG,Color: Black
"Reviewed in the United States 🇺🇸 on January 1, 2023",Kristen Lechner,yes,yes,3 week old at hockey game approved,"The media could not be loaded.                  Small enclosed arena for hockey. Noise did not bother our 3 week old one bit. Took a bit for him to get used to the straps, but after about 15 seconds of crying and a bottle in the mouth, he was all good.UPDATE: He seems to be uncomfortable with it on. The strap keeps sliding in his face even if he is sitting still sleeping. Now he is 2 months old",4,-,-,https://www.amazon.com/gp/customer-reviews/RUZP55PEDL8OC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B07KCKWGSG,Color: Black
"Reviewed in the United States 🇺🇸 on November 7, 2022",Team Kness,yes,yes,Loudest venue tested,"We went to a KC Chiefs game at Arrowhead Stadium. It has been tested and Arrowhead is THE loudest stadium in the NFL. We bought tickets for our son’s birthday and didn’t want to leave 5 month old baby sister at home.I didn’t want to buy something that MIGHT work since this is her hearing we are protecting. I splurged for these earphones. They were great! Not only did she not have any negative reactions to the sounds, they were so comfortable and worked so well, she slept through the game. The game went into overtime and was sooo loud my ears were ringing. But my baby slept. Buy these.Go Chiefs!",5,-,-,https://www.amazon.com/gp/customer-reviews/R2U6R8KGF8J0U2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B072HCP5PL,Color: Pink
"Reviewed in the United States 🇺🇸 on July 9, 2022",K&B Byers,yes,yes,Perfect for short time use,"The media could not be loaded.                  We bought these for the 4th of July. We were going to a baseball game where we knew we’d be close. Thank goodness we had these, my little was able to take a nap with them on. She wore them and she’s about 2 1/2 months. It doesn’t go over her soft spot and seemed comfortable. The only problem is the front will slide down over their eyes if they move their head enough. There’s not grip like there is in the back. So would work on a toddler head better. But nice and non-bulky!",4,-,-,https://www.amazon.com/gp/customer-reviews/R32T2MX8WF5UOA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B07KCKWGSG,Color: Black
"Reviewed in the United States 🇺🇸 on March 6, 2022",LizLiz,yes,yes,Worked great!,Perfect for hockey games! Comfortable and stayed in place… most of the time. She pulls beanies off right away and but she didn’t mess with these headphones. The top strap sometimes slipped down over her eyes but it was easy to reposition them and totally worth the little effort it took! All and all I’m thankful we bought these and would recommend them to a friend.,5,https://m.media-amazon.com/images/I/81LSdDs9ADL.jpg,-,https://www.amazon.com/gp/customer-reviews/R38OFOEM5OQCNB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B07KCKWGSG,Color: Black
"Reviewed in the United States 🇺🇸 on February 11, 2023",ROSS,yes,yes,They work GREAT!,"I have a 3 month old baby and we wanted to go to Magic Kingdom and wait until the fireworks closing show, but I was worried it would be too loud for him and it would hurt his ears. So I bought the headphones and put them on him as soon as I knew the show was about to start and he was completely unbothered, you know if the baby would listen because he would jump with the noise, but he was looking at the fireworks and not jumping at all, I could tell he was isolated from the sound. It was a total success!!! Highly recommended!!",5,-,-,https://www.amazon.com/gp/customer-reviews/R1F0HD40T7OYDV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B0B3DP967Y,Color: Green
"Reviewed in the United States 🇺🇸 on January 19, 2023",MamaBear,yes,yes,Perfect for baby at loud events,"I actually put these on myself first to experience what it would sound like for my 7 month old. We were outside in the city, I could still hear noise but muffled so low, that it sounds like low TV volume. No louder than what he would normally hear at home with TV on. I have no concerns baby wearing my son at an outdoor concert with these on. Bring on the summer festivals!! Very pleased with the quality…I wish I had them when my daughter was a baby.",5,-,-,https://www.amazon.com/gp/customer-reviews/RDZGSAW4I694T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B07KCKWGSG,Color: Black
"Reviewed in the United States 🇺🇸 on September 28, 2018",Amazon CustomerAmazon Customer,yes,yes,Did great for taking our daughter to her first Airshow,Did great for taking our daughter to her first Airshow. She slept through most of it. They stayed on her head well.,5,https://images-na.ssl-images-amazon.com/images/I/61vbg-rm3zL.jpg,-,https://www.amazon.com/gp/customer-reviews/RFUV9JO3C8QK8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B072HCP5PL,Color: Pink
"Reviewed in the United States 🇺🇸 on December 8, 2022",NinaNina,yes,yes,Must have!,"So I knew we were going to a basketball game with the little one. He’s 4 months old and I wanted to make sure he was comfortable. We had suite tickets so I knew we would be a little shielded but we needed more protection. I bought these from just a quick search and I’m so glad I found them! They fit his head perfectly with the adjustable strap and sticky side underneath. My son wasn’t bothered having them on and actually fell asleep at the end of it. We put them to our own ears to see how well they cancelled the noise and we were pleasantly surprised.If you’re going to a sporting event or an outside concert, I’d recommend these for your little one!",5,https://m.media-amazon.com/images/I/71HEd+oVZnL.jpg,-,https://www.amazon.com/gp/customer-reviews/R2QVY1900OP171/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B0B3DP967Y,Color: Green
"Reviewed in the United States 🇺🇸 on September 16, 2022",Paulo Coelho,yes,yes,Comfortable but hard to assemble,"These pads are great, we used it with out son so we could watch the blue angels and he seemed ok with it. The only reason why I'm giving it 4 stars instead of 5 has to do with initial setup. One of the pads comes detached from the strap for shipping. In order to attach said pad to the strap you need to remove a plastic piece from the back of the pad. That plastic piece is NOT EASY to remove. We literally had to use prying tools made for removing car panels to remove the dmn thing.",4,-,-,https://www.amazon.com/gp/customer-reviews/R3QV1NPSZK26HI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B0B3DRSQZJ,Color: Yellow
"Reviewed in the United States 🇺🇸 on July 25, 2022",EiaEia,yes,yes,Seems comfortable and effective,"Went to a baseball game and poor baby got really freaked out of the loud noises. It’s a good thing we have this in his diaper bag. I knew this would come in real handy one day! I felt like it worked really well coz he calmed down after putting this on. It also looked comfortable because he did not attempt to take it off. You have to double check if the ears are inside the hollow part of the ear muffs, otherwise he wouldn’t be comfortable and it wouldn’t be completely effective. Another thing is that it’s hard to nurse and put baby to sleep with this on I had to take it off and use one of my hands to cover his one ear (other ear on my chest). Overall it worked really great and I highly recommend it!",5,https://m.media-amazon.com/images/I/61VRA3UWCtL.jpg,-,https://www.amazon.com/gp/customer-reviews/R979ICF1XN8BK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B071H56GPH,Color: Blue
"Reviewed in the United States 🇺🇸 on July 4, 2022",becky Hendrybecky Hendry,yes,yes,Worth it!!!,"To start, before buying I read the reviews.  I read all the 1 stars and they all said the same thing. ""Don't fit right. Fall into the eyes. Doesn't block sound..."" etc... I wasn't going to get it. Then 1 5 star review said it was because people were putting them on backwards.  I took a chance. I got it based on that 1 review and I am so glad I did! My 6 month old did pull them over her eyes. Twice. Then she stopped. They blocked the sound so well that she fell asleep during fireworks! Ones loud enough to set off car alarms didn't even make her look around. Best thing ever! Super soft and comfy! My kid has a big birth mark on her ear and I was worried it would bother her but it didn't! She didn't even notice. I cannot recommend them enough!",5,https://m.media-amazon.com/images/I/5141a11C2-L.jpg,-,https://www.amazon.com/gp/customer-reviews/R3Q4YCJW2YFGYW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B072HCP5PL,Color: Pink
"Reviewed in the United States 🇺🇸 on January 29, 2023",jsba11,yes,yes,Worked Perfectly,I never write reviews but these worked so well I feel I have to. Last night we took our two month old to Supercross (motorcycle racing) and he wore these the whole time without reacting to anything. There were loud fireworks plus the continuous sounds of motorcycles and fans yelling and he slept through the whole thing. It took him a minute to get used to them but then he was perfectly content. I was amazed by how well they worked.,5,-,-,https://www.amazon.com/gp/customer-reviews/RC8IXO1ANKTW3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B071H56GPH,Color: Blue
"Reviewed in the United States 🇺🇸 on May 24, 2022",mary andersonmary anderson,yes,yes,"I never write reviews, but this is well deserved","Bought these when flying with my 3 month old, but never had to use them. Went to our first hockey game this weekend (3.5 mon old) and it was LOUD in there ! We brought our ear muffs ! They stayed in place the whole game and even through goals, cheering, and all the noise he slept peacefully and didn’t stir ! We are so glad we had these and can’t wait to try them in other situations ! A must buy for any new parent !",5,https://m.media-amazon.com/images/I/71qZlirLUCL.jpg,-,https://www.amazon.com/gp/customer-reviews/RSBELJTOAUPZ4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B07KCKWGSG,Color: Black
"Reviewed in the United States 🇺🇸 on April 16, 2022",CeruleanCerulean,yes,yes,This thing WORKS,This product was AMAZING. We saw the Dolly Parton Pirates Voyage that has cannon fire and screaming and cheering and fighting and she didn’t even STIR. She was chill the whole time. I put my ear in them to see how it was and it completely deadened the sound. LOVE THEM. Buy these! My baby is 2 months old.,5,https://m.media-amazon.com/images/I/81ce8xtNtvL.jpg,-,https://www.amazon.com/gp/customer-reviews/R22EVE6XIZX433/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B072HCP5PL,Color: Pink
"Reviewed in the United States 🇺🇸 on December 29, 2021",Danielle jDanielle j,yes,yes,Great for the airplane,Like they weren’t even there she had no problems with them,5,https://m.media-amazon.com/images/I/71tlXZ0fwYL.jpg,-,https://www.amazon.com/gp/customer-reviews/R3NSGBQO062GTL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B072HCP5PL,Color: Pink
"Reviewed in the United States 🇺🇸 on July 13, 2021",MrsElms,yes,yes,Giving One Stars Because I Can't Give No Stars,"These sound mufflers muffle absolutely nothing. I put them over my ears to test them and had a friend of mine talk in a normal voice across the room and I could hear every word clear as day. We had planned to use them to take our little one to fireworks this year, but if they couldn't block out a single voice, they certainly weren't going to block out firework booms. Sadly had to return and not see the fireworks this year because we didn't have time to try ordering a different product.",1,-,-,https://www.amazon.com/gp/customer-reviews/RW2005LGK9YU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B072HCP5PL,Color: Pink
"Reviewed in the United States 🇺🇸 on December 18, 2022",PM,yes,yes,Recommend for newborns!,"We bought this to use for our newborn as we were planning to take him to a wedding.  It took a little bit to find the right way to strap it around his head, but once we figured that out, it worked really well.  He slept through the loud reception without any discomfort at all.Note -- if it's not placed the right way, baby will be frustrated and not want this to be on.  Will be saving this for future travel and loud events!",5,-,-,https://www.amazon.com/gp/customer-reviews/R167SSWXQ8SAF5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B071H56GPH,Color: Blue
"Reviewed in the United States 🇺🇸 on April 1, 2022",arf1167arf1167,yes,yes,Happy baby,We finally used the today at a wedding. I found they took a little bit of adjusting and you have to make sure they are covering the ears. He wasn’t bothered by the noise at all so I guess they worked out. He didn’t seem bothered by them at all.,5,https://m.media-amazon.com/images/I/61aD8TeCuSL.jpg,-,https://www.amazon.com/gp/customer-reviews/R5R7D8IB51AQN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B07KCKWGSG,Color: Black
"Reviewed in the United States 🇺🇸 on December 21, 2017",Amazon CustomerAmazon Customer,yes,yes,Five Stars,Fit well,5,https://images-na.ssl-images-amazon.com/images/I/61l40Lt2PoL.jpg,-,https://www.amazon.com/gp/customer-reviews/R3T7UQRVFLTFIY/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B072HCP5PL,Color: Pink
"Reviewed in the United States 🇺🇸 on June 18, 2020",JessicaJessica,yes,yes,I like them,They are good even came with extra strap and carrying bag,5,https://images-na.ssl-images-amazon.com/images/I/71QiBBAza4L.jpg,-,https://www.amazon.com/gp/customer-reviews/R2QOFVCYLIDMQE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B07KCKWGSG,Color: Black
"Reviewed in the United States 🇺🇸 on April 9, 2021",M&BKayM&BKay,yes,yes,Slept on a 5 hour flight!,It was perfect for our baby boy's first flight. 5 hour flight and he slept through it all up until 30 min before landing but that's because he was hungry. He seemed comfortable enough wearing it. It was only when he was getting hot that he wanted to take it off. Hopefully he sleeps the entire way back! Highly recommendUPDATE: He did sleep the entire way.. he was a little uncomfortable since he sleeps on my shoulder so the muffs were in the way but again highly recommend 👌,5,https://images-na.ssl-images-amazon.com/images/I/91FJkFgFxTL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1FN7UVPB2T0P4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B071H56GPH,Color: Blue
"Reviewed in the United States 🇺🇸 on November 10, 2022",CH,yes,yes,Helpful,"We have used these on our infant for a concert, sporting event, and airplane ride. Baby tolerates wearing them fine and they seem comfortable and the strap is easy to use and easy to line up the ears on the band. However I don’t think they block out the noise. When we tried them they seem to decrease the volume but you can still clearly hear the sounds just a bit more muffled. So it’s helpful to have put in public where it is louder and you need to protect their ears and help minimize the sounds I think it will bring the noise down maybe 20 decibels but they do not cancel out the sound.",4,-,-,https://www.amazon.com/gp/customer-reviews/R1SHGLECFHDALX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B0B3DRSQZJ,B072HCP5PL,Color: Pink
